source,reference,baseline_nllb_prediction,baseline_nllb_sentence_chrf,original_lora_prediction,original_lora_sentence_chrf,semantic_lora_prediction,semantic_lora_sentence_chrf
د هېواد په شمال کې د جنبش ملي او جمیعت اسلامي ګوندونو ترمنځ نښتې,"For Australia in Afghanistan, victory was never an optionTony",Protests between nationalist and communist Islamist parties in the north of the country,16.823837533507067,Protests between Nationalist and Jamaat Islamist parties in northern Afghanistan,25.44412844835992,Protests between the Nationalist and Jamaat Islamist parties in the north of the country,16.12332585218177
دهرات ولايت دکډوالو او راستنېدونکوچارو رياست - دګډوالو او راستنیدونکو چارو وزارت,Directorate fo Refugees and Repatriations of Herat Province - Ministry of Refugees and Repatriations,State Department of Refugee and Returned Persons - Ministry of Refugee and Returned Persons,36.775754652263544,Department of Refugee and Refugee Affairs - Ministry of Refugee and Refugee Affairs,34.68322601092868,Directorate of Refugee and Refugee Affairs - Ministry of Refugee and Refugee Affairs,41.219922118780985
یوتلست 10A 10.0 ° E,SR: 27500 ksymb / S,Utilised 10A 10.0 ° E,2.4350649350649354,Utilised 10A 10.0 ° E,2.4350649350649354,Utilised 10A 10.0 ° E,2.4350649350649354
د موبايل په مخروط اوريزو نبات,Mobile Cone Crushing Plant,Cell phone cone orange plant,13.84796169268519,A mobile cone orange plant,20.1222521560504,Mobile conical orange plant,25.9179456672697
يو بنسټيز PL / کيو ايل snippet (نومه د بنديز) او يا هم په يو شمېر مرمۍ وسیله په يو وخت په دار وځړول (د ساري په کيو ايل * Plus) يا,A PL / SQL malika bingehîn (block neqeydkirî) yan jî di cih de li hin tool shell Bakûr (raxîne. SQL * Plus) an,A basic PL/QL snippet (known as blocking) or hanging on a number of keystrokes at a time (known as SQL*Plus) or,18.439840578943354,A basic PL/QL snippet (name blocking) or hanging on a number of repair tools at a time (serial in QL*Plus) or,19.51949124096268,A basic PL/QL snippet (name of block) or hanging on a number of repair tools at a time (the entire QL*Plus) or,19.39711758325651
د بحث سره یوځای غواړئ؟,Want to join the discussion?,Would you like to join the discussion?,76.23841696708566,Would you like to join the discussion?,76.23841696708566,Want to join the discussion?,100.0
سندونه ISO9001 ، CE ، SGS ، API,"Certifications ISO9001,CE, SGS, API","Certificates such as ISO9001, CE, SGS, API",73.29685137390001,"Certificates ISO9001, CE, SGS, API",76.58686369172459,"Certificates ISO9001, CE, SGS, API",76.58686369172459
Curator of Emirates Soil Museum Full-time أبريل ۲۳ ۲۰۱۸ يونيو ۱۸ ۲۰۱۸ ICBACSD-SMC-2018-003,Business Development Specialist Full-time Jan 31 2018 Mar 18 2018 ICBAPKM-BDS-2018-001,Curator of Emirates Soil Museum Full-time 23 April 2018 18 June 2018 ICBACSD-SMC-2018-003,29.346395890356764,"Curator of Emirates Soil Museum Full-time April 23, 2018 June 18, 2018 ICBACSD-SMC-2018-003",29.094870750449452,"Curator of Emirates Soil Museum Full-time April 23, 2018 June 18, 2018 ICBACSD-SMC-2018-003",29.094870750449452
تبدیل ماشوم د موټر څوکۍ,Baby Car Booster Seat,Converted baby car seat,16.06404012886424,Changing Child Car Seat,21.545044222135527,Change baby car seat,13.02724872390954
د خراب کولیسټرول په کچه کې زیاتوالى، له دې امله، د سټروک یا د زړه حملې خطرونو تمرکز کوي,"An increase in the level of bad cholesterol, hence, spiking up the risks of strokes or heart attacks","Increased levels of bad cholesterol, therefore, focus on the risk of stroke or heart attack",51.29464477721939,"Increased levels of bad cholesterol, therefore, focus on the risk of stroke or heart attack",51.29464477721939,"Increased levels of bad cholesterol, therefore, focus on the risk of stroke or heart attack",51.29464477721939
۴۵۰ افغان زده کونکي په ټولو تحصیلي پړاؤنو کښې په ایران کښې ښوونځي ته ځي,Over 3.5 million Afghan Children Missing right to Education: Save the Children,450 Afghan students go to school in Iran in all academic stages,14.203622318715622,450 Afghan students go to school in Iran in all academic stages,14.203622318715622,450 Afghan students go to school in Iran in all academic stages,14.203622318715622
7.5M د صفا جوړولو، پن ډول ډول - Buildinglift.com جوړولو لپاره 800 کلوګرام معطل شوي پلیټینټونه جوړ کړي,"7.5M customized 800 Kg suspended platforms for building cleaning , pin - type - Buildinglift.com","7.5M builds 800 kg of suspended platforms for the construction of shaft, pin type - Buildinglift.com",55.31878281721192,"7.5M builds 800kg suspended platforms for the construction of shaft, pin type - Buildinglift.com",55.81623315832914,"7.5M built 800 kg suspended platforms for construction of shaft, pin type - Buildinglift.com",56.153245364489266
د BMW X5 نوې جبهه چپ ځنډولو برخه هوا S ...,FOR BMW X5 NEW FRONT LEFT SUSPENSION PART AIR S...,New front left suspension part of BMW X5 Air S...,15.557003685392418,BMW X5 new front left suspension part air s...,11.44065495578377,BMW X5 New Front Left Suspension Part Air S...,18.69006872336774
Rikoooo.com يوه فرانسوي وېب پاڼه وقف کمپيوټر فرضی (د ولايتي شورا)، په عمده توګه د Microsoft سافټ «دالوتني سیمیولیټر» او Lockheed Martin «Prepar3D» تمرکز، سره اړه Laminar د څیړنې «X-الوتکه» د ځینو عناصرو ده.,"Rikoooo.com is a French Website devoted to computer simulation (on PC), mainly focused on the Microsoft software «Flight Simulator» and Lockheed Martin «Prepar3D», with some elements concerning Laminar Research «X-Plane».","Rikoooo.com is a French website dedicated to computer simulations (State Council), mainly focusing on Microsoft's current simulator and Lockheed Martin's Prepar3D, with some elements of Laminar's research on the X-plane.",58.67231987879632,"Rikoooo.com is a French website dedicated to computer simulator (s), mainly focusing on Microsoft Software Flight Simulator and Lockheed Martin Prepar3D, with some elements of research about Laminar X-Plane.",61.7041508205191,"Rikoooo.com is a French website dedicated to computer simulator (PDF), mainly focused on Microsoft Software Flight Simulator and Lockheed Martin Prepar3D, with some elements of research on Laminar X-Plane.",64.26995436011343
